Fecha;Año;País;Distribuidor;Marca;Operador;Cantidad;Venta parcial 1;Venta parcial 2;Venta parcial 3;Venta promedio;Precio;Total;Columna1;Columna2;;País;Distribuidor;Marca;Operador;Cantidad;Venta parcial 1;Venta parcial 2;Venta parcial 3;Venta promedio;Precio;;;;Total;País;Distribuidor;Marca;Operador
31/8/2024;2024;Brasil;Plaza Vea;Apple;Tuenti;98;20;54;24;33; $ 15,00 ; $ 1.470,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
5/7/2024;2024;Portugal;Plaza Vea;LG;Entel;187;87;95;5;62; $ 15,00 ; $ 2.805,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
16/12/2024;2024;Chile;Plaza Vea;Apple;Claro;141;66;31;44;47; $ 15,00 ; $ 2.115,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
27/7/2024;2024;España;Plaza Vea;Apple;Tuenti;70;16;13;41;23; $ 15,00 ; $ 1.050,00 ; ?;|||||;;;;;;;;;;;;;;;;;;;
22/4/2025;2025;Cuba;Plaza Vea;LG;Bitel;110;75;11;24;37; $ 15,00 ; $ 1.650,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
18/4/2025;2025;Cuba;Plaza Vea;LG;Claro;150;57;20;73;50; $ 15,00 ; $ 2.250,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
18/8/2024;2024;Argentina;Plaza Vea;Apple;Claro;102;2;94;6;34; $ 15,00 ; $ 1.530,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
8/11/2024;2024;Canadá;Plaza Vea;LG;Claro;105;2;34;69;35; $ 17,00 ; $ 1.785,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
7/7/2024;2024;Dinamarca;Plaza Vea;LG;Entel;107;38;23;46;36; $ 17,00 ; $ 1.819,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
26/10/2024;2024;España;Ripley;LG;Bitel;125;20;64;41;42; $ 15,00 ; $ 1.875,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
8/7/2024;2024;Perú;Ripley;LG;Bitel;157;43;66;48;52; $ 15,00 ; $ 2.355,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
20/7/2024;2024;Cuba;Ripley;Huawei;Movistar;242;92;59;91;81; $ 15,00 ; $ 3.630,00 ; ????;||||||||||||||||||;;;;;;;;;;;;;;;;;;;
12/7/2024;2024;Paraguay;Ripley;LG;Entel;266;86;91;89;89; $ 15,00 ; $ 3.990,00 ; ????;|||||||||||||||||||;;;;;;;;;;;;;;;;;;;
17/8/2024;2024;Guatemala;Ripley;LG;Claro;24;1;20;3;8; $ 15,00 ; $ 360,00 ; ?;|;;;;;;;;;;;;;;;;;;;
1/4/2025;2025;Suiza;Ripley;LG;Tuenti;133;52;69;12;44; $ 15,00 ; $ 1.995,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
18/6/2024;2024;México;Ripley;Nokia;Movistar;124;30;9;85;41; $ 15,00 ; $ 1.860,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
20/6/2024;2024;Colombia;Ripley;Samsung;Entel;87;27;12;48;29; $ 15,00 ; $ 1.305,00 ; ?;||||||;;;;;;;;;;;;;;;;;;;
23/11/2024;2024;Canadá;Ripley;Apple;Bitel;124;26;16;82;41; $ 15,00 ; $ 1.860,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
11/10/2024;2024;España;Ripley;Huawei;Tuenti;147;24;40;83;49; $ 15,00 ; $ 2.205,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
15/6/2024;2024;Francia;Ripley;Motorola;Bitel;56;20;30;6;19; $ 15,00 ; $ 840,00 ; ?;||||;;;;;;;;;;;;;;;;;;;
24/1/2025;2025;Portugal;Ripley;Motorola;Bitel;179;80;12;87;60; $ 15,00 ; $ 2.685,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
9/1/2025;2025;Portugal;Ripley;Samsung;Tuenti;200;92;17;91;67; $ 15,00 ; $ 3.000,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
21/1/2025;2025;Alemania;Ripley;Samsung;Movistar;134;43;44;47;45; $ 15,00 ; $ 2.010,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
7/4/2025;2025;Estados Unidos;Ripley;Huawei;Bitel;80;10;23;47;27; $ 15,00 ; $ 1.200,00 ; ?;||||||;;;;;;;;;;;;;;;;;;;
17/12/2024;2024;Bolivia;Ripley;LG;Bitel;100;12;29;59;33; $ 15,00 ; $ 1.500,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
19/8/2024;2024;Inglaterra;Ripley;Samsung;Movistar;134;1;38;95;45; $ 15,00 ; $ 2.010,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
27/4/2025;2025;Inglaterra;Ripley;Nokia;Tuenti;148;60;46;42;49; $ 15,00 ; $ 2.220,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
22/10/2024;2024;Chile;Ripley;Apple;Bitel;206;62;51;93;69; $ 15,00 ; $ 3.090,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
3/4/2025;2025;Inglaterra;Ripley;Samsung;Claro;172;74;59;39;57; $ 15,00 ; $ 2.580,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
17/10/2024;2024;Irlanda;Ripley;LG;Tuenti;172;60;66;46;57; $ 15,00 ; $ 2.580,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
11/1/2025;2025;Venezuela;Ripley;Nokia;Bitel;143;46;25;72;48; $ 15,00 ; $ 2.145,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
25/9/2024;2024;Dinamarca;Ripley;Nokia;Claro;134;32;34;68;45; $ 15,00 ; $ 2.010,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
26/5/2025;2025;Alemania;Ripley;Apple;Claro;199;41;81;77;66; $ 15,00 ; $ 2.985,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
11/4/2025;2025;España;Ripley;Samsung;Movistar;120;40;65;15;40; $ 15,00 ; $ 1.800,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
23/11/2024;2024;Suiza;Ripley;LG;Tuenti;133;66;51;16;44; $ 15,00 ; $ 1.995,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
12/6/2024;2024;Dinamarca;Ripley;LG;Entel;81;42;37;2;27; $ 15,00 ; $ 1.215,00 ; ?;||||||;;;;;;;;;;;;;;;;;;;
14/12/2024;2024;Argentina;Ripley;Motorola;Movistar;51;32;8;11;17; $ 15,00 ; $ 765,00 ; ?;|||;;;;;;;;;;;;;;;;;;;
21/6/2024;2024;Alemania;Ripley;Apple;Movistar;68;20;15;33;23; $ 15,00 ; $ 1.020,00 ; ?;|||||;;;;;;;;;;;;;;;;;;;
22/11/2024;2024;Canadá;Ripley;Samsung;Tuenti;127;10;75;42;42; $ 15,00 ; $ 1.905,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
2/1/2025;2025;Perú;Ripley;LG;Tuenti;139;32;67;40;46; $ 15,00 ; $ 2.085,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
29/7/2024;2024;Inglaterra;Ripley;Motorola;Entel;173;65;51;57;58; $ 15,00 ; $ 2.595,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
20/12/2024;2024;Suiza;Ripley;Nokia;Entel;185;78;84;23;62; $ 15,00 ; $ 2.775,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
12/2/2025;2025;Brasil;Ripley;LG;Claro;215;58;77;80;72; $ 15,00 ; $ 3.225,00 ; ????;||||||||||||||||;;;;;;;;;;;;;;;;;;;
29/5/2025;2025;Colombia;Ripley;Nokia;Tuenti;147;86;53;8;49; $ 15,00 ; $ 2.205,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
26/11/2024;2024;Bolivia;Ripley;Apple;Movistar;48;33;10;5;16; $ 15,00 ; $ 720,00 ; ?;|||;;;;;;;;;;;;;;;;;;;
15/3/2025;2025;Portugal;Ripley;Samsung;Entel;220;90;79;51;73; $ 15,00 ; $ 3.300,00 ; ????;||||||||||||||||;;;;;;;;;;;;;;;;;;;
10/9/2024;2024;Uruguay;Ripley;Apple;Tuenti;167;93;50;24;56; $ 15,00 ; $ 2.505,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
21/12/2024;2024;Bolivia;Ripley;Apple;Entel;177;66;64;47;59; $ 15,00 ; $ 2.655,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
28/11/2024;2024;Portugal;Ripley;Samsung;Tuenti;184;80;48;56;61; $ 15,00 ; $ 2.760,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
3/11/2024;2024;El Salvador;Ripley;Samsung;Entel;150;13;85;52;50; $ 15,00 ; $ 2.250,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
27/6/2024;2024;México;Ripley;LG;Bitel;201;48;79;74;67; $ 15,00 ; $ 3.015,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
24/4/2025;2025;Venezuela;Ripley;Samsung;Claro;110;36;42;32;37; $ 15,00 ; $ 1.650,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
6/8/2024;2024;Portugal;Ripley;Apple;Tuenti;97;19;53;25;32; $ 15,00 ; $ 1.455,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
21/2/2025;2025;Suiza;Ripley;Apple;Claro;70;2;24;44;23; $ 15,00 ; $ 1.050,00 ; ?;|||||;;;;;;;;;;;;;;;;;;;
10/7/2024;2024;Canadá;Ripley;Samsung;Movistar;209;60;66;83;70; $ 15,00 ; $ 3.135,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
15/11/2024;2024;España;Ripley;Huawei;Bitel;115;14;49;52;38; $ 15,00 ; $ 1.725,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
25/5/2025;2025;Perú;Ripley;Apple;Bitel;134;57;60;17;45; $ 17,00 ; $ 2.278,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
30/12/2024;2024;México;Saga Falabella;Apple;Bitel;100;41;23;36;33; $ 15,00 ; $ 1.500,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
29/9/2024;2024;Estados Unidos;Saga Falabella;Apple;Tuenti;169;32;54;83;56; $ 15,00 ; $ 2.535,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
26/12/2024;2024;México;Saga Falabella;Samsung;Tuenti;163;80;52;31;54; $ 15,00 ; $ 2.445,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
8/8/2024;2024;Portugal;Saga Falabella;LG;Entel;254;91;90;73;85; $ 15,00 ; $ 3.810,00 ; ????;|||||||||||||||||||;;;;;;;;;;;;;;;;;;;
5/1/2025;2025;Colombia;Saga Falabella;Samsung;Claro;203;36;80;87;68; $ 15,00 ; $ 3.045,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
20/1/2025;2025;Dinamarca;Saga Falabella;Motorola;Claro;112;80;2;30;37; $ 15,00 ; $ 1.680,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
26/1/2025;2025;El Salvador;Saga Falabella;Apple;Tuenti;270;88;87;95;90; $ 15,00 ; $ 4.050,00 ; ????;||||||||||||||||||||;;;;;;;;;;;;;;;;;;;
11/7/2024;2024;Irlanda;Saga Falabella;Nokia;Movistar;208;44;87;77;69; $ 15,00 ; $ 3.120,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
14/8/2024;2024;España;Saga Falabella;Huawei;Movistar;157;68;38;51;52; $ 15,00 ; $ 2.355,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
10/5/2025;2025;Guatemala;Saga Falabella;Apple;Movistar;103;65;34;4;34; $ 15,00 ; $ 1.545,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
21/4/2025;2025;Irlanda;Saga Falabella;Motorola;Claro;185;84;23;78;62; $ 15,00 ; $ 2.775,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
3/4/2025;2025;México;Saga Falabella;Samsung;Claro;204;72;72;60;68; $ 15,00 ; $ 3.060,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
9/4/2025;2025;Cuba;Saga Falabella;Nokia;Entel;203;95;65;43;68; $ 15,00 ; $ 3.045,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
14/11/2024;2024;Uruguay;Saga Falabella;Apple;Entel;114;5;55;54;38; $ 15,00 ; $ 1.710,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
30/1/2025;2025;Dinamarca;Saga Falabella;Huawei;Entel;128;28;75;25;43; $ 15,00 ; $ 1.920,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
19/11/2024;2024;Bolivia;Saga Falabella;Huawei;Movistar;182;58;49;75;61; $ 15,00 ; $ 2.730,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
16/3/2025;2025;Paraguay;Saga Falabella;Motorola;Claro;155;81;40;34;52; $ 15,00 ; $ 2.325,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
17/6/2024;2024;Uruguay;Saga Falabella;Motorola;Claro;170;85;75;10;57; $ 15,00 ; $ 2.550,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
4/3/2025;2025;Chile;Saga Falabella;Samsung;Bitel;185;90;14;81;62; $ 15,00 ; $ 2.775,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
27/1/2025;2025;Dinamarca;Saga Falabella;Samsung;Claro;111;58;50;3;37; $ 15,00 ; $ 1.665,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
25/6/2024;2024;España;Saga Falabella;Nokia;Claro;137;3;72;62;46; $ 15,00 ; $ 2.055,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
11/7/2024;2024;Chile;Saga Falabella;Samsung;Movistar;186;93;43;50;62; $ 15,00 ; $ 2.790,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
1/2/2025;2025;México;Saga Falabella;Nokia;Entel;125;45;23;57;42; $ 15,00 ; $ 1.875,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
24/3/2025;2025;Portugal;Saga Falabella;Nokia;Bitel;124;80;38;6;41; $ 15,00 ; $ 1.860,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
11/12/2024;2024;Francia;Saga Falabella;Huawei;Movistar;107;19;30;58;36; $ 15,00 ; $ 1.605,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
12/7/2024;2024;España;Saga Falabella;LG;Claro;139;81;34;24;46; $ 15,00 ; $ 2.085,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
31/7/2024;2024;Inglaterra;Saga Falabella;Samsung;Tuenti;198;94;65;39;66; $ 15,00 ; $ 2.970,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
26/12/2024;2024;El Salvador;Saga Falabella;Nokia;Claro;198;89;62;47;66; $ 15,00 ; $ 2.970,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
16/7/2024;2024;Guatemala;Saga Falabella;Samsung;Claro;160;10;74;76;53; $ 15,00 ; $ 2.400,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
23/11/2024;2024;Brasil;Saga Falabella;LG;Movistar;207;92;87;28;69; $ 15,00 ; $ 3.105,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
8/1/2025;2025;Estados Unidos;Saga Falabella;LG;Bitel;193;48;50;95;64; $ 15,00 ; $ 2.895,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
22/5/2025;2025;Colombia;Saga Falabella;Huawei;Bitel;151;83;32;36;50; $ 15,00 ; $ 2.265,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
3/12/2024;2024;Uruguay;Saga Falabella;LG;Claro;168;41;84;43;56; $ 15,00 ; $ 2.520,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
5/8/2024;2024;Estados Unidos;Saga Falabella;Apple;Claro;45;23;10;12;15; $ 15,00 ; $ 675,00 ; ?;|||;;;;;;;;;;;;;;;;;;;
9/1/2025;2025;Bolivia;Saga Falabella;Nokia;Bitel;247;75;91;81;82; $ 15,00 ; $ 3.705,00 ; ????;||||||||||||||||||;;;;;;;;;;;;;;;;;;;
16/4/2025;2025;Canadá;Saga Falabella;Nokia;Bitel;136;79;21;36;45; $ 15,00 ; $ 2.040,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
23/12/2024;2024;Canadá;Saga Falabella;Samsung;Movistar;153;82;22;49;51; $ 15,00 ; $ 2.295,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
29/10/2024;2024;El Salvador;Saga Falabella;Samsung;Entel;151;19;66;66;50; $ 15,00 ; $ 2.265,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
16/6/2024;2024;Cuba;Saga Falabella;Samsung;Claro;106;66;16;24;35; $ 15,00 ; $ 1.590,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
28/11/2024;2024;Irlanda;Saga Falabella;Nokia;Bitel;48;3;30;15;16; $ 15,00 ; $ 720,00 ; ?;|||;;;;;;;;;;;;;;;;;;;
15/8/2024;2024;México;Saga Falabella;Apple;Movistar;44;26;12;6;15; $ 15,00 ; $ 660,00 ; ?;|||;;;;;;;;;;;;;;;;;;;
24/6/2024;2024;España;Saga Falabella;Apple;Bitel;157;38;77;42;52; $ 15,00 ; $ 2.355,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
17/8/2024;2024;México;Saga Falabella;Samsung;Movistar;191;32;87;72;64; $ 15,00 ; $ 2.865,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
6/7/2024;2024;Canadá;Saga Falabella;LG;Tuenti;179;45;47;87;60; $ 15,00 ; $ 2.685,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
24/10/2024;2024;Alemania;Saga Falabella;LG;Bitel;86;24;2;60;29; $ 15,00 ; $ 1.290,00 ; ?;||||||;;;;;;;;;;;;;;;;;;;
7/5/2025;2025;Portugal;Saga Falabella;LG;Claro;147;36;82;29;49; $ 15,00 ; $ 2.205,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
30/12/2024;2024;Cuba;Saga Falabella;LG;Movistar;122;44;69;9;41; $ 15,00 ; $ 1.830,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
7/4/2025;2025;Uruguay;Saga Falabella;Motorola;Claro;197;39;75;83;66; $ 15,00 ; $ 2.955,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
17/11/2024;2024;Dinamarca;Saga Falabella;Apple;Tuenti;132;52;12;68;44; $ 17,00 ; $ 2.244,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
2/2/2025;2025;Dinamarca;Tottus;LG;Tuenti;119;56;37;26;40; $ 15,00 ; $ 1.785,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
19/6/2024;2024;Paraguay;Tottus;Huawei;Tuenti;255;66;95;94;85; $ 15,00 ; $ 3.825,00 ; ????;|||||||||||||||||||;;;;;;;;;;;;;;;;;;;
28/9/2024;2024;El Salvador;Tottus;Samsung;Movistar;154;88;52;14;51; $ 15,00 ; $ 2.310,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
10/12/2024;2024;España;Tottus;LG;Tuenti;156;50;13;93;52; $ 15,00 ; $ 2.340,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
12/1/2025;2025;Canadá;Tottus;Samsung;Movistar;142;12;46;84;47; $ 15,00 ; $ 2.130,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
23/7/2024;2024;Portugal;Tottus;Samsung;Tuenti;128;79;20;29;43; $ 15,00 ; $ 1.920,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
17/5/2025;2025;Alemania;Tottus;LG;Bitel;192;34;67;91;64; $ 15,00 ; $ 2.880,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
25/4/2025;2025;Francia;Tottus;Nokia;Bitel;151;58;14;79;50; $ 15,00 ; $ 2.265,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
4/6/2025;2025;Dinamarca;Tottus;Nokia;Bitel;137;40;8;89;46; $ 15,00 ; $ 2.055,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
8/10/2024;2024;Bolivia;Tottus;LG;Bitel;138;47;38;53;46; $ 15,00 ; $ 2.070,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
5/5/2025;2025;México;Tottus;LG;Bitel;46;17;8;21;15; $ 15,00 ; $ 690,00 ; ?;|||;;;;;;;;;;;;;;;;;;;
25/3/2025;2025;Bolivia;Tottus;Apple;Entel;108;32;59;17;36; $ 15,00 ; $ 1.620,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
25/11/2024;2024;Bolivia;Tottus;Apple;Entel;203;20;93;90;68; $ 15,00 ; $ 3.045,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
30/4/2025;2025;Brasil;Tottus;Nokia;Claro;174;89;7;78;58; $ 15,00 ; $ 2.610,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
14/5/2025;2025;Dinamarca;Tottus;Apple;Claro;198;68;38;92;66; $ 15,00 ; $ 2.970,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
14/6/2024;2024;Jamaica;Tottus;Apple;Entel;143;29;90;24;48; $ 15,00 ; $ 2.145,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
15/8/2024;2024;Guatemala;Tottus;Huawei;Claro;137;17;78;42;46; $ 15,00 ; $ 2.055,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
27/9/2024;2024;Irlanda;Tottus;LG;Tuenti;87;25;29;33;29; $ 15,00 ; $ 1.305,00 ; ?;||||||;;;;;;;;;;;;;;;;;;;
1/2/2025;2025;Estados Unidos;Tottus;LG;Tuenti;170;90;53;27;57; $ 15,00 ; $ 2.550,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
28/1/2025;2025;Brasil;Tottus;LG;Claro;197;62;86;49;66; $ 15,00 ; $ 2.955,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
12/1/2025;2025;Canadá;Tottus;LG;Tuenti;75;34;4;37;25; $ 15,00 ; $ 1.125,00 ; ?;|||||;;;;;;;;;;;;;;;;;;;
3/11/2024;2024;Suiza;Tottus;Samsung;Bitel;142;62;45;35;47; $ 15,00 ; $ 2.130,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
31/12/2024;2024;Canadá;Tottus;Samsung;Bitel;159;81;39;39;53; $ 15,00 ; $ 2.385,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
29/9/2024;2024;Paraguay;Tottus;Samsung;Entel;173;41;71;61;58; $ 15,00 ; $ 2.595,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
5/5/2025;2025;Colombia;Tottus;Huawei;Entel;228;84;67;77;76; $ 15,00 ; $ 3.420,00 ; ????;|||||||||||||||||;;;;;;;;;;;;;;;;;;;
1/12/2024;2024;Alemania;Tottus;Apple;Bitel;139;86;6;47;46; $ 15,00 ; $ 2.085,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
7/12/2024;2024;Dinamarca;Tottus;Samsung;Entel;211;90;94;27;70; $ 15,00 ; $ 3.165,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
31/8/2024;2024;Paraguay;Tottus;Samsung;Tuenti;108;20;18;70;36; $ 15,00 ; $ 1.620,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
30/12/2024;2024;Perú;Tottus;LG;Tuenti;102;20;2;80;34; $ 15,00 ; $ 1.530,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
28/12/2024;2024;Inglaterra;Tottus;Huawei;Entel;108;36;56;16;36; $ 15,00 ; $ 1.620,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
31/8/2024;2024;Guatemala;Tottus;LG;Tuenti;120;32;38;50;40; $ 15,00 ; $ 1.800,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
31/12/2024;2024;Brasil;Tottus;Nokia;Tuenti;130;2;52;76;43; $ 15,00 ; $ 1.950,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
10/7/2024;2024;México;Tottus;LG;Entel;201;55;84;62;67; $ 15,00 ; $ 3.015,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
25/3/2025;2025;Brasil;Tottus;Apple;Tuenti;155;62;81;12;52; $ 15,00 ; $ 2.325,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
12/7/2024;2024;Uruguay;Tottus;Apple;Movistar;84;24;27;33;28; $ 15,00 ; $ 1.260,00 ; ?;||||||;;;;;;;;;;;;;;;;;;;
9/9/2024;2024;España;Tottus;Samsung;Movistar;164;43;52;69;55; $ 15,00 ; $ 2.460,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
22/2/2025;2025;Canadá;Tottus;LG;Tuenti;212;54;66;92;71; $ 15,00 ; $ 3.180,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
21/2/2025;2025;Inglaterra;Tottus;Apple;Bitel;112;32;54;26;37; $ 15,00 ; $ 1.680,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
2/2/2025;2025;Colombia;Tottus;Apple;Tuenti;131;32;25;74;44; $ 15,00 ; $ 1.965,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
25/9/2024;2024;Suiza;Tottus;LG;Bitel;183;75;64;44;61; $ 15,00 ; $ 2.745,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
21/4/2025;2025;Perú;Tottus;LG;Entel;131;8;71;52;44; $ 15,00 ; $ 1.965,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
13/9/2024;2024;Perú;Tottus;Apple;Movistar;109;62;4;43;36; $ 15,00 ; $ 1.635,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
28/3/2025;2025;Inglaterra;Tottus;Huawei;Entel;60;2;53;5;20; $ 15,00 ; $ 900,00 ; ?;||||;;;;;;;;;;;;;;;;;;;
1/3/2025;2025;Francia;Tottus;LG;Claro;181;65;35;81;60; $ 15,00 ; $ 2.715,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
14/7/2024;2024;Colombia;Tottus;Apple;Tuenti;56;3;44;9;19; $ 15,00 ; $ 840,00 ; ?;||||;;;;;;;;;;;;;;;;;;;
29/8/2024;2024;Venezuela;Tottus;Apple;Movistar;118;18;60;40;39; $ 15,00 ; $ 1.770,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
24/8/2024;2024;Canadá;Tottus;Huawei;Movistar;122;47;14;61;41; $ 15,00 ; $ 1.830,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
26/6/2024;2024;Canadá;Tottus;Motorola;Entel;188;35;71;82;63; $ 15,00 ; $ 2.820,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
29/11/2024;2024;Guatemala;Tottus;Nokia;Bitel;115;89;12;14;38; $ 15,00 ; $ 1.725,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
